Symbiodinium52236	K00738
Symbiodinium54400	K08582
Symbiodinium18683	K22866
Symbiodinium53760	K00970
Symbiodinium20212	K05349
Symbiodinium35378	K24041
Symbiodinium38999	K25378
Symbiodinium51383	K07880
Symbiodinium20526	K10390
Symbiodinium18026	K10380
Symbiodinium8828	K23741
Symbiodinium35512	K04948
Symbiodinium52637	K15523
Symbiodinium5839	K00889
Symbiodinium27114	K08917
Symbiodinium5721	K15305
Symbiodinium28551	K16726
Symbiodinium49905	K00726
Symbiodinium7356	K01885
Symbiodinium12804	K06180
Symbiodinium48902	K11717
Symbiodinium7435	K04554
Symbiodinium29948	K14755
Symbiodinium29102	K24229
Symbiodinium48502	K24869
Symbiodinium13819	K25426
Symbiodinium27935	K12834
Symbiodinium57470	K17586
Symbiodinium32449	K24837
Symbiodinium46614	K22763
Symbiodinium5750	K11204
Symbiodinium41837	K00889
Symbiodinium28821	K00505
Symbiodinium45223	K04855
Symbiodinium50107	K06180
Symbiodinium52631	K08341
Symbiodinium38953	K12823
Symbiodinium23573	K06180
Symbiodinium22897	K10408
Symbiodinium55589	K13525
Symbiodinium39647	K08790
Symbiodinium5384	K03320
Symbiodinium36657	K09649
Symbiodinium26263	K16726
Symbiodinium48295	K22686
Symbiodinium29022	K03265
Symbiodinium26887	K12385
Symbiodinium23296	K03094
Symbiodinium21167	K00166
Symbiodinium32621	K00326
Symbiodinium28786	K12736
Symbiodinium55168	K09935
Symbiodinium49825	K00799
Symbiodinium47985	K01673
Symbiodinium18554	K06180
Symbiodinium9513	K01551
Symbiodinium53575	K00612
Symbiodinium27326	K01507
Symbiodinium58532	K16726
Symbiodinium9942	K08869
Symbiodinium50522	K12460
Symbiodinium45358	K19041
Symbiodinium22883	K06180
Symbiodinium42376	K19761
Symbiodinium38592	K10392
Symbiodinium37625	K14327
Symbiodinium31796	K10615
Symbiodinium27304	K02870
Symbiodinium9457	K04771
Symbiodinium27957	K12827
Symbiodinium27857	K00602
Symbiodinium72611	K02920
Symbiodinium24287	K21867
Symbiodinium9687	K03696
Symbiodinium27904	K15654
Symbiodinium38596	K10380
Symbiodinium38345	K15109
Symbiodinium21756	K22614
Symbiodinium32749	K03260
Symbiodinium45821	K03500
Symbiodinium35864	K20526
Symbiodinium24998	K20495
Symbiodinium44589	K04849
Symbiodinium21461	K09553
Symbiodinium51210	K15121
Symbiodinium29576	K08151
Symbiodinium22124	K01135
Symbiodinium43941	K14379
Symbiodinium15132	K19404
Symbiodinium50515	K18764
Symbiodinium12736	K25647
Symbiodinium25011	K02868
Symbiodinium29604	K02260
Symbiodinium43583	K11129
Symbiodinium26983	K18561
Symbiodinium37039	K24185
Symbiodinium38271	K00919
Symbiodinium42140	K12501
Symbiodinium47187	K12604
Symbiodinium39920	K04955
Symbiodinium15457	K05658
Symbiodinium28603	K02303
Symbiodinium19509	K02893
Symbiodinium10125	K26404
Symbiodinium33542	K08245
Symbiodinium62425	K02916
Symbiodinium48797	K09553
Symbiodinium12732	K07767
Symbiodinium11795	K02923
Symbiodinium48289	K17279
Symbiodinium32767	K11843
Symbiodinium45998	K01230
Symbiodinium56377	K10380
Symbiodinium39325	K01408
Symbiodinium9046	K08776
Symbiodinium49014	K26544
Symbiodinium32141	K00167
Symbiodinium44565	K25896
Symbiodinium22367	K17592
Symbiodinium38843	K14803
Symbiodinium8615	K01076
Symbiodinium31353	K05849
Symbiodinium26896	K06180
Symbiodinium28196	K01738
Symbiodinium42196	K21064
Symbiodinium17065	K06180
Symbiodinium23015	K01953
Symbiodinium60803	K16726
Symbiodinium34620	K17341
Symbiodinium20183	K00326
Symbiodinium7949	K15505
Symbiodinium24167	K11450
Symbiodinium45077	K13614
Symbiodinium43903	K23538
Symbiodinium51923	K22614
Symbiodinium6629	K15502
Symbiodinium38776	K04954
Symbiodinium14254	K12035
Symbiodinium21631	K15918
Symbiodinium23279	K10407
Symbiodinium41539	K15272
Symbiodinium43460	K17623
Symbiodinium5650	K21440
Symbiodinium43029	K12823
Symbiodinium23314	K25458
Symbiodinium56936	K01174
Symbiodinium60936	K01128
Symbiodinium27487	K03553
Symbiodinium51525	K15272
Symbiodinium14951	K05692
Symbiodinium34197	K06133
Symbiodinium32294	K02935
Symbiodinium31807	K23569
Symbiodinium56604	K07874
Symbiodinium49605	K14834
Symbiodinium29081	K01783
Symbiodinium5027	K02974
Symbiodinium26036	K07375
Symbiodinium15953	K06689
Symbiodinium44526	K16602
Symbiodinium29348	K13207
Symbiodinium58878	K18422
Symbiodinium30733	K01539
Symbiodinium27481	K13525
Symbiodinium39062	K12460
Symbiodinium72462	K00413
Symbiodinium26518	K10408
Symbiodinium54202	K24743
Symbiodinium50354	K02327
Symbiodinium31891	K03325
Symbiodinium50495	K14617
Symbiodinium39210	K01382
Symbiodinium42179	K03016
Symbiodinium15347	K24940
Symbiodinium25058	K10765
Symbiodinium38574	K00948
Symbiodinium50436	K14793
Symbiodinium9995	K01408
Symbiodinium19472	K02877
Symbiodinium46997	K08303
Symbiodinium39873	K05620
Symbiodinium30267	K17778
Symbiodinium27076	K10380
Symbiodinium8796	K22074
Symbiodinium48351	K13412
Symbiodinium54251	K09142
Symbiodinium50157	K08883
Symbiodinium23258	K15710
Symbiodinium35961	K09580
Symbiodinium46275	K19882
Symbiodinium6808	K12599
Symbiodinium38233	K08193
Symbiodinium28898	K04986
Symbiodinium20136	K00558
Symbiodinium56276	K18932
Symbiodinium7974	K21440
Symbiodinium45847	K02471
Symbiodinium27405	K00488
Symbiodinium45310	K12396
Symbiodinium50747	K12581
Symbiodinium26017	K02147
Symbiodinium32272	K12177
Symbiodinium55238	K15084
Symbiodinium22438	K24041
Symbiodinium37278	K15436
Symbiodinium5181	K16175
Symbiodinium27032	K01007
Symbiodinium19634	K00485
Symbiodinium37414	K07937
Symbiodinium50439	K18272
Symbiodinium56711	K00545
Symbiodinium30766	K09020
Symbiodinium70680	K13126
Symbiodinium7222	K14570
Symbiodinium42411	K16862
Symbiodinium46793	K14457
Symbiodinium27298	K02705
Symbiodinium18762	K03438
Symbiodinium23159	K15271
Symbiodinium56743	K13248
Symbiodinium33996	K07198
Symbiodinium5077	K05692
Symbiodinium43249	K15516
Symbiodinium25545	K03424
Symbiodinium24033	K01424
Symbiodinium26363	K22614
Symbiodinium34009	K03260
Symbiodinium40920	K12443
Symbiodinium16216	K18444
Symbiodinium36899	K07198
Symbiodinium12956	K03978
Symbiodinium20569	K10615
Symbiodinium57190	K09503
Symbiodinium48219	K18156
Symbiodinium37370	K19519
Symbiodinium9444	K10365
Symbiodinium51729	K06994
Symbiodinium38590	K17278
Symbiodinium24899	K09538
Symbiodinium43982	K21989
Symbiodinium14781	K12460
Symbiodinium20264	K00710
Symbiodinium37579	K03885
Symbiodinium19258	K00472
Symbiodinium43806	K03671
Symbiodinium53777	K05766
Symbiodinium45972	K00558
Symbiodinium9704	K01076
Symbiodinium23081	K06689
Symbiodinium53171	K07553
Symbiodinium52042	K00472
Symbiodinium42030	K25166
Symbiodinium17352	K08776
Symbiodinium10560	K00108
Symbiodinium50798	K01228
Symbiodinium17685	K01897
Symbiodinium42563	K01136
Symbiodinium19011	K13679
Symbiodinium59084	K15682
Symbiodinium12930	K22614
Symbiodinium41960	K06692
Symbiodinium34042	K07300
Symbiodinium35862	K12888
Symbiodinium44766	K13093
Symbiodinium34817	K03242
Symbiodinium47899	K04371
Symbiodinium14660	K11494
Symbiodinium32223	K07300
Symbiodinium17881	K03307
Symbiodinium34398	K23257
Symbiodinium32853	K06269
Symbiodinium20043	K00476
Symbiodinium44572	K10669
Symbiodinium12447	K08770
Symbiodinium21010	K04905
Symbiodinium38739	K08796
Symbiodinium51160	K22762
Symbiodinium7495	K12195
Symbiodinium50821	K08287
Symbiodinium15168	K13525
Symbiodinium38016	K01514
Symbiodinium19836	K25896
Symbiodinium6054	K03025
Symbiodinium52945	K09571
Symbiodinium40757	K07512
Symbiodinium17690	K16744
Symbiodinium14551	K12811
Symbiodinium42316	K04373
Symbiodinium27098	K10380
Symbiodinium49444	K04460
Symbiodinium54879	K07903
Symbiodinium12337	K21989
Symbiodinium46789	K10380
Symbiodinium35629	K11826
Symbiodinium22471	K19882
Symbiodinium7135	K16726
Symbiodinium31803	K10405
Symbiodinium9835	K04372
Symbiodinium36117	K02183
Symbiodinium23428	K01537
Symbiodinium5262	K00993
Symbiodinium29283	K01647
Symbiodinium33324	K25058
Symbiodinium47416	K08983
Symbiodinium54101	K15376
Symbiodinium27306	K02900
Symbiodinium30130	K22763
Symbiodinium19662	K18789
Symbiodinium11824	K07783
Symbiodinium27814	K17943
Symbiodinium38669	K13431
Symbiodinium46360	K01202
Symbiodinium38183	K12132
Symbiodinium21730	K13675
Symbiodinium19446	K12877
Symbiodinium28504	K03164
Symbiodinium44559	K22762
Symbiodinium33444	K00963
Symbiodinium43661	K04905
Symbiodinium29147	K22809
Symbiodinium21232	K05954
Symbiodinium29381	K19600
Symbiodinium67265	K22754
Symbiodinium10846	K02955
Symbiodinium44421	K01198
Symbiodinium30607	K24070
Symbiodinium43570	K01176
Symbiodinium49512	K20100
Symbiodinium9630	K01915
Symbiodinium21875	K05692
Symbiodinium29619	K20471
Symbiodinium36713	K17550
Symbiodinium25752	K17964
Symbiodinium55470	K11163
Symbiodinium29556	K01626
Symbiodinium28427	K01365
Symbiodinium36756	K03320
Symbiodinium46949	K09531
Symbiodinium36439	K11297
Symbiodinium50324	K04892
Symbiodinium26879	K22614
Symbiodinium37784	K03696
Symbiodinium22636	K13148
Symbiodinium21578	K15083
Symbiodinium53120	K07511
Symbiodinium24903	K03854
Symbiodinium20137	K12132
Symbiodinium28547	K06002
Symbiodinium20293	K10277
Symbiodinium33911	K15276
Symbiodinium10890	K10575
Symbiodinium8544	K19626
Symbiodinium9396	K10407
Symbiodinium53246	K20181
Symbiodinium52449	K15445
Symbiodinium40010	K21919
Symbiodinium7322	K09571
Symbiodinium23398	K01262
Symbiodinium50096	K07636
Symbiodinium51121	K14996
Symbiodinium41922	K17499
Symbiodinium8303	K15255
Symbiodinium29457	K10380
Symbiodinium36721	K20363
Symbiodinium32000	K01696
Symbiodinium9000	K15109
Symbiodinium24700	K02303
Symbiodinium39982	K01012
Symbiodinium56496	K10380
Symbiodinium27841	K01507
Symbiodinium53910	K09020
Symbiodinium43481	K01776
Symbiodinium14711	K03233
Symbiodinium49122	K12132
Symbiodinium42982	K03686
Symbiodinium35448	K08832
Symbiodinium50573	K16726
Symbiodinium22992	K05516
Symbiodinium56840	K20899
Symbiodinium36567	K23978
Symbiodinium34971	K07937
Symbiodinium50739	K25866
Symbiodinium14109	K08829
Symbiodinium28874	K21862
Symbiodinium15834	K16726
Symbiodinium16226	K23330
Symbiodinium53555	K02069
Symbiodinium12805	K04986
Symbiodinium9714	K06573
Symbiodinium8726	K05760
Symbiodinium30987	K23729
Symbiodinium55735	K00228
Symbiodinium40649	K14549
Symbiodinium30196	K10870
Symbiodinium52998	K10380
Symbiodinium30755	K09571
Symbiodinium12507	K23518
Symbiodinium18795	K12587
Symbiodinium49134	K10457
Symbiodinium40332	K08869
Symbiodinium2255	K06180
Symbiodinium38157	K20027
Symbiodinium27017	K10592
Symbiodinium25800	K00889
Symbiodinium15191	K10394
Symbiodinium44376	K10380
Symbiodinium25824	K01135
Symbiodinium10691	K10407
Symbiodinium12142	K02991
Symbiodinium19301	K05673
Symbiodinium30526	K01379
Symbiodinium32755	K18533
Symbiodinium29961	K01070
Symbiodinium27642	K22836
Symbiodinium54955	K18598
Symbiodinium8318	K07427
Symbiodinium24845	K11481
Symbiodinium9196	K04886
Symbiodinium12413	K12876
Symbiodinium17748	K19307
Symbiodinium24207	K08869
Symbiodinium26721	K08606
Symbiodinium27293	K02703
Symbiodinium55354	K08900
Symbiodinium21632	K02350
Symbiodinium48864	K15502
Symbiodinium42986	K13427
Symbiodinium22972	K02865
Symbiodinium50190	K10255
Symbiodinium56594	K02863
Symbiodinium54180	K14209
Symbiodinium9016	K22128
Symbiodinium27476	K01652
Symbiodinium41511	K04905
Symbiodinium44576	K04739
Symbiodinium5330	K09571
Symbiodinium39015	K10878
Symbiodinium50791	K10426
Symbiodinium27982	K02966
Symbiodinium28263	K21440
Symbiodinium39486	K02471
Symbiodinium579	K12460
Symbiodinium41248	K21440
Symbiodinium45818	K10523
Symbiodinium51707	K03437
Symbiodinium39801	K06981
Symbiodinium32673	K10396
Symbiodinium36001	K16889
Symbiodinium50909	K04955
Symbiodinium12131	K11426
Symbiodinium20188	K00726
Symbiodinium12817	K02183
Symbiodinium35253	K10380
Symbiodinium1316	K12460
Symbiodinium31364	K04857
Symbiodinium9775	K04955
Symbiodinium9301	K19269
Symbiodinium961	K16726
Symbiodinium18340	K22754
Symbiodinium14674	K15446
Symbiodinium30640	K01725
Symbiodinium36744	K14298
Symbiodinium54086	K09592
Symbiodinium43905	K00799
Symbiodinium18600	K10260
Symbiodinium31850	K12443
Symbiodinium38415	K17496
Symbiodinium5463	K06180
Symbiodinium24951	K16726
Symbiodinium5147	K24770
Symbiodinium52682	K00273
Symbiodinium33342	K26544
Symbiodinium402	K12460
Symbiodinium24917	K02873
Symbiodinium30721	K25378
Symbiodinium44822	K10587
Symbiodinium28024	K02720
Symbiodinium46015	K12883
Symbiodinium51232	K10134
Symbiodinium43326	K03686
Symbiodinium54315	K08057
Symbiodinium19071	K10956
Symbiodinium39169	K16302
Symbiodinium21855	K00826
Symbiodinium25488	K06180
Symbiodinium21034	K00738
Symbiodinium27311	K02942
Symbiodinium56768	K01640
Symbiodinium14719	K10536
Symbiodinium18836	K07019
Symbiodinium11359	K02874
Symbiodinium32216	K08576
Symbiodinium25085	K10758
Symbiodinium35075	K01883
Symbiodinium6519	K15335
Symbiodinium19406	K16803
Symbiodinium9466	K00898
Symbiodinium37469	K06100
Symbiodinium48466	K01363
Symbiodinium61549	K16726
Symbiodinium51779	K10380
Symbiodinium49407	K16745
Symbiodinium29932	K07198
Symbiodinium17706	K08770
Symbiodinium22924	K17725
Symbiodinium56980	K10380
Symbiodinium45734	K12445
Symbiodinium33487	K02519
Symbiodinium51673	K11153
Symbiodinium40769	K19329
Symbiodinium25267	K15655
Symbiodinium19275	K15277
Symbiodinium36189	K03977
Symbiodinium9545	K13750
Symbiodinium41805	K15687
Symbiodinium36361	K16052
Symbiodinium23354	K15710
Symbiodinium42647	K04908
Symbiodinium27178	K00134
Symbiodinium39153	K07376
Symbiodinium32393	K09884
Symbiodinium37572	K17725
Symbiodinium70628	K02111
Symbiodinium44106	K00027
Symbiodinium22346	K00612
Symbiodinium42173	K10739
Symbiodinium8847	K00710
Symbiodinium22510	K12460
Symbiodinium27824	K22684
Symbiodinium23463	K25533
Symbiodinium35400	K08960
Symbiodinium29894	K07305
Symbiodinium33283	K09564
Symbiodinium34931	K04885
Symbiodinium19457	K00234
Symbiodinium50527	K14079
Symbiodinium20807	K01953
Symbiodinium7244	K17943
Symbiodinium58881	K10260
Symbiodinium7969	K15377
Symbiodinium49498	K01408
Symbiodinium56811	K20242
Symbiodinium37221	K07300
Symbiodinium42595	K07874
Symbiodinium36860	K16457
Symbiodinium27675	K14379
Symbiodinium45644	K01265
Symbiodinium8359	K17964
Symbiodinium44631	K01380
Symbiodinium32655	K11885
Symbiodinium46697	K10450
Symbiodinium31770	K25895
Symbiodinium75039	K04646
Symbiodinium57890	K14638
Symbiodinium23470	K08193
Symbiodinium47444	K09480
Symbiodinium51336	K15109
Symbiodinium45060	K13293
Symbiodinium46318	K09935
Symbiodinium24451	K04515
Symbiodinium21968	K06180
Symbiodinium28767	K11416
Symbiodinium28371	K17943
Symbiodinium28875	K10419
Symbiodinium14560	K01480
Symbiodinium45283	K19360
Symbiodinium38178	K13412
Symbiodinium11915	K02872
Symbiodinium43210	K01195
Symbiodinium21136	K04515
Symbiodinium25171	K06180
Symbiodinium17467	K00265
Symbiodinium37622	K11755
Symbiodinium43917	K17943
Symbiodinium52853	K00545
Symbiodinium26854	K12460
Symbiodinium50219	K03762
Symbiodinium11475	K01082
Symbiodinium32551	K14831
Symbiodinium44462	K00710
Symbiodinium40986	K19870
Symbiodinium38011	K15537
Symbiodinium53755	K01437
Symbiodinium30183	K00413
Symbiodinium27609	K11547
Symbiodinium37588	K03350
Symbiodinium26033	K13705
Symbiodinium36390	K15654
Symbiodinium45211	K10523
Symbiodinium18697	K09511
Symbiodinium40970	K06180
Symbiodinium62738	K15032
Symbiodinium42313	K05609
Symbiodinium38239	K01267
Symbiodinium6947	K20151
Symbiodinium5886	K23437
Symbiodinium39686	K13612
Symbiodinium52281	K16726
Symbiodinium52216	K26419
Symbiodinium33171	K14803
Symbiodinium36092	K01054
Symbiodinium46956	K13719
Symbiodinium58836	K15032
Symbiodinium51800	K05350
Symbiodinium28501	K01074
Symbiodinium8141	K13181
Symbiodinium42092	K09648
Symbiodinium28019	K01647
Symbiodinium14086	K12898
Symbiodinium8007	K04905
Symbiodinium23271	K06942
Symbiodinium35226	K10380
Symbiodinium9238	K00927
Symbiodinium30517	K11412
Symbiodinium9633	K14165
Symbiodinium22099	K17497
Symbiodinium43894	K23330
Symbiodinium23214	K03026
Symbiodinium30014	K02320
Symbiodinium30890	K24070
Symbiodinium54150	K00058
Symbiodinium31474	K17725
Symbiodinium43146	K17808
Symbiodinium54359	K18753
Symbiodinium19702	K10587
Symbiodinium22064	K00142
Symbiodinium38000	K07240
Symbiodinium33954	K02433
Symbiodinium23502	K13806
Symbiodinium13783	K13412
Symbiodinium14440	K25895
Symbiodinium42037	K10885
Symbiodinium8903	K01535
Symbiodinium2067	K17513
Symbiodinium52279	K19584
Symbiodinium13396	K10380
Symbiodinium14994	K14326
Symbiodinium51174	K17839
Symbiodinium30764	K11744
Symbiodinium53548	K25162
Symbiodinium68313	K02997
Symbiodinium38232	K15692
Symbiodinium44057	K00861
Symbiodinium8345	K11838
Symbiodinium36368	K19673
Symbiodinium36892	K03702
Symbiodinium49938	K14326
Symbiodinium39347	K02874
Symbiodinium32599	K14847
Symbiodinium10237	K10416
Symbiodinium26925	K02639
Symbiodinium5779	K17065
Symbiodinium37048	K02887
Symbiodinium47514	K08869
Symbiodinium23260	K02917
Symbiodinium5298	K09488
Symbiodinium49968	K14802
Symbiodinium33634	K00020
Symbiodinium31171	K10393
Symbiodinium54252	K19953
Symbiodinium20197	K14963
Symbiodinium33690	K01623
Symbiodinium20710	K01382
Symbiodinium44362	K00463
Symbiodinium37233	K23330
Symbiodinium6861	K18327
Symbiodinium36185	K04459
Symbiodinium23473	K08596
Symbiodinium29194	K12849
Symbiodinium43732	K10260
Symbiodinium12689	K10860
Symbiodinium54567	K07023
Symbiodinium39644	K07198
Symbiodinium6042	K20279
Symbiodinium27611	K06627
Symbiodinium40377	K01802
Symbiodinium16368	K04883
Symbiodinium27582	K01379
Symbiodinium24471	K00545
Symbiodinium50221	K00898
Symbiodinium24534	K09511
Symbiodinium37180	K00045
Symbiodinium34560	K17086
Symbiodinium5751	K20290
Symbiodinium29323	K05010
Symbiodinium12959	K03654
Symbiodinium53915	K15106
Symbiodinium22137	K12460
Symbiodinium51465	K08680
Symbiodinium3530	K10380
Symbiodinium26481	K04079
Symbiodinium32765	K23531
Symbiodinium57484	K00612
Symbiodinium23795	K01738
Symbiodinium42144	K09580
Symbiodinium43967	K07124
Symbiodinium46456	K07304
Symbiodinium7422	K08829
Symbiodinium53172	K03665
Symbiodinium51357	K10644
Symbiodinium53552	K10415
Symbiodinium27129	K01673
Symbiodinium20471	K14753
Symbiodinium50949	K10706
Symbiodinium22272	K14487
Symbiodinium40925	K13412
Symbiodinium31181	K10397
Symbiodinium10534	K23538
Symbiodinium46410	K15987
Symbiodinium25090	K19760
Symbiodinium9462	K12132
Symbiodinium28695	K19756
Symbiodinium30288	K07375
Symbiodinium55048	K16675
Symbiodinium9884	K10860
Symbiodinium35756	K17268
Symbiodinium36062	K21862
Symbiodinium43852	K07024
Symbiodinium24823	K19525
Symbiodinium5571	K03686
Symbiodinium56654	K01462
Symbiodinium37882	K11584
Symbiodinium44418	K01050
Symbiodinium37350	K04040
Symbiodinium32116	K13755
Symbiodinium27624	K07944
Symbiodinium35203	K07376
Symbiodinium35193	K14406
Symbiodinium12088	K04905
Symbiodinium42242	K08151
Symbiodinium41066	K01176
Symbiodinium53609	K04487
Symbiodinium21540	K11752
Symbiodinium9473	K19998
Symbiodinium13063	K13045
Symbiodinium47710	K03798
Symbiodinium23493	K07937
Symbiodinium50368	K09517
Symbiodinium40599	K00759
Symbiodinium51549	K06664
Symbiodinium7496	K18710
Symbiodinium53929	K00078
Symbiodinium61123	K16726
Symbiodinium25300	K12823
Symbiodinium20860	K19329
Symbiodinium7307	K11170
Symbiodinium36976	K16781
Symbiodinium46934	K17586
Symbiodinium29603	K14347
Symbiodinium6366	K20176
Symbiodinium8802	K10380
Symbiodinium32142	K20028
Symbiodinium9843	K10380
Symbiodinium16455	K12259
Symbiodinium41297	K22614
Symbiodinium48880	K07056
Symbiodinium27320	K02693
Symbiodinium32844	K15047
Symbiodinium6541	K15110
Symbiodinium29259	K10454
Symbiodinium57327	K22684
Symbiodinium27166	K14685
Symbiodinium31763	K11811
Symbiodinium38031	K01892
Symbiodinium19337	K22372
Symbiodinium42480	K01897
Symbiodinium28236	K04499
Symbiodinium17527	K21440
Symbiodinium17888	K10408
Symbiodinium51782	K22949
Symbiodinium24660	K18753
Symbiodinium50092	K04459
Symbiodinium52107	K17506
Symbiodinium30636	K00434
Symbiodinium23627	K01958
Symbiodinium15770	K04994
Symbiodinium154	K03768
Symbiodinium26636	K15032
Symbiodinium46667	K03833
Symbiodinium57897	K11781
Symbiodinium37195	K24887
Symbiodinium38734	K04373
Symbiodinium30753	K12823
Symbiodinium12529	K03626
Symbiodinium37642	K12196
Symbiodinium48467	K10380
Symbiodinium30855	K15920
Symbiodinium51889	K16745
Symbiodinium31902	K10394
Symbiodinium45870	K10635
Symbiodinium43902	K24029
Symbiodinium9558	K07376
Symbiodinium37127	K04515
Symbiodinium44720	K05330
Symbiodinium5990	K06969
Symbiodinium14136	K24816
Symbiodinium21539	K13210
Symbiodinium5937	K13703
Symbiodinium42233	K14297
Symbiodinium28724	K25378
Symbiodinium31961	K18757
Symbiodinium72278	K02872
Symbiodinium54246	K08515
Symbiodinium51421	K15505
Symbiodinium23526	K12132
Symbiodinium52268	K04427
Symbiodinium9495	K00788
Symbiodinium59771	K01528
Symbiodinium41757	K13412
Symbiodinium11904	K02960
Symbiodinium51486	K16075
Symbiodinium46625	K19745
Symbiodinium32405	K17943
Symbiodinium24530	K07376
Symbiodinium52342	K00472
Symbiodinium7979	K15015
Symbiodinium45061	K07126
Symbiodinium5220	K00486
Symbiodinium5967	K00854
Symbiodinium28264	K01897
Symbiodinium24166	K13696
Symbiodinium38499	K09680
Symbiodinium37714	K00326
Symbiodinium9143	K03696
Symbiodinium44202	K21804
Symbiodinium55264	K17608
Symbiodinium53984	K07376
Symbiodinium50407	K11968
Symbiodinium43314	K08844
Symbiodinium38435	K17087
Symbiodinium10694	K00761
Symbiodinium4602	K02111
Symbiodinium19821	K17584
Symbiodinium30238	K14004
Symbiodinium59803	K07126
Symbiodinium524	K10380
Symbiodinium21852	K11438
Symbiodinium18604	K16726
Symbiodinium7280	K04797
Symbiodinium60098	K06180
Symbiodinium31162	K06628
Symbiodinium50440	K10615
Symbiodinium43615	K22746
Symbiodinium29696	K12870
Symbiodinium47242	K08495
Symbiodinium36705	K17302
Symbiodinium42433	K08857
Symbiodinium26962	K10380
Symbiodinium35782	K08794
Symbiodinium12410	K03845
Symbiodinium29495	K02325
Symbiodinium26485	K06180
Symbiodinium53301	K01253
Symbiodinium22778	K10534
Symbiodinium49012	K00573
Symbiodinium56413	K12430
Symbiodinium34844	K03773
Symbiodinium15935	K22763
Symbiodinium24213	K07025
Symbiodinium8401	K10523
Symbiodinium59528	K12603
Symbiodinium50933	K08857
Symbiodinium19163	K24706
Symbiodinium51815	K23334
Symbiodinium36157	K22763
Symbiodinium32921	K01535
Symbiodinium46470	K01246
Symbiodinium36996	K10799
Symbiodinium21781	K10523
Symbiodinium34563	K00760
Symbiodinium35019	K08960
Symbiodinium45679	K13412
Symbiodinium37539	K05667
Symbiodinium5237	K16726
Symbiodinium7050	K09667
Symbiodinium8671	K03686
Symbiodinium55386	K02449
Symbiodinium51343	K05289
Symbiodinium15012	K04856
Symbiodinium55807	K06978
Symbiodinium48903	K12304
Symbiodinium16477	K15738
Symbiodinium10432	K08741
Symbiodinium8952	K04512
Symbiodinium5092	K12460
Symbiodinium38036	K16726
Symbiodinium30861	K14857
Symbiodinium42546	K12581
Symbiodinium29026	K03035
Symbiodinium50662	K04711
Symbiodinium33735	K18460
Symbiodinium27508	K01802
Symbiodinium27636	K09496
Symbiodinium28308	K02943
Symbiodinium65182	K16726
Symbiodinium24963	K20198
Symbiodinium25531	K12460
Symbiodinium38140	K04604
Symbiodinium35162	K03007
Symbiodinium15698	K12823
Symbiodinium39962	K01478
Symbiodinium47186	K04855
Symbiodinium50072	K15280
Symbiodinium42205	K19704
Symbiodinium23705	K01881
Symbiodinium31175	K02516
Symbiodinium31870	K02183
Symbiodinium11539	K01803
Symbiodinium56333	K02183
Symbiodinium48743	K03511
Symbiodinium24448	K16292
Symbiodinium21027	K07115
Symbiodinium19052	K09667
Symbiodinium49568	K10635
Symbiodinium6190	K00033
Symbiodinium33767	K24473
Symbiodinium10118	K24166
Symbiodinium38724	K03686
Symbiodinium24565	K09571
Symbiodinium41015	K08582
Symbiodinium30651	K00645
Symbiodinium24194	K16608
Symbiodinium45444	K09518
Symbiodinium38686	K13886
Symbiodinium9432	K04460
Symbiodinium20916	K01408
Symbiodinium25051	K01006
Symbiodinium27340	K11096
Symbiodinium8834	K01053
Symbiodinium30110	K15026
Symbiodinium29443	K10799
Symbiodinium26906	K09751
Symbiodinium11169	K24846
Symbiodinium40169	K13412
Symbiodinium55522	K06685
Symbiodinium21143	K15697
Symbiodinium32154	K03013
Symbiodinium34461	K09702
Symbiodinium57194	K06180
Symbiodinium52961	K16175
Symbiodinium27418	K11086
Symbiodinium42582	K04461
Symbiodinium42181	K00558
Symbiodinium36627	K01079
Symbiodinium28090	K12818
Symbiodinium17311	K13648
Symbiodinium23218	K07766
Symbiodinium34721	K19584
Symbiodinium13168	K10808
Symbiodinium26240	K23490
Symbiodinium7202	K10357
Symbiodinium42166	K11835
Symbiodinium53875	K24155
Symbiodinium22951	K20032
Symbiodinium48567	K03260
Symbiodinium35655	K00232
Symbiodinium43651	K02867
Symbiodinium15449	K18441
Symbiodinium28784	K06013
Symbiodinium26591	K14803
Symbiodinium51404	K12405
Symbiodinium1228	K00731
Symbiodinium21990	K10380
Symbiodinium39463	K10704
Symbiodinium35021	K00108
Symbiodinium61561	K06867
Symbiodinium25133	K05849
Symbiodinium60010	K00612
Symbiodinium51630	K16462
Symbiodinium49078	K01754
Symbiodinium40789	K01759
Symbiodinium38472	K09602
Symbiodinium16877	K00218
Symbiodinium26516	K08869
Symbiodinium8815	K19603
Symbiodinium54678	K03665
Symbiodinium37293	K22684
Symbiodinium7713	K03686
Symbiodinium23180	K06413
Symbiodinium31774	K13354
Symbiodinium39795	K04563
Symbiodinium30415	K01368
Symbiodinium44920	K23289
Symbiodinium11634	K11088
Symbiodinium46332	K04955
Symbiodinium51099	K24706
Symbiodinium43373	K12812
Symbiodinium50409	K22763
Symbiodinium12549	K14803
Symbiodinium16633	K14806
Symbiodinium45574	K14721
Symbiodinium22215	K23460
Symbiodinium30204	K15015
Symbiodinium9878	K01090
Symbiodinium34146	K06020
Symbiodinium7364	K11153
Symbiodinium46355	K08151
Symbiodinium17960	K16726
Symbiodinium30124	K02945
Symbiodinium34647	K00018
